SID,WORD,POS,Context,
1360,whatsoever,adv.,He had no doubts whatsoever about his decision to move abroad.,
1361,whereby,adv.,The company created a new system whereby employees could submit their ideas for improvement.,
1362,whilst,conj.,"Whilst I agree with most of your points, I disagree with a few.",
1363,whip,v.,The rider used a whip to guide the horse through the obstacle course.,
1364,wholly,adv.,The team was wholly dedicated to the success of the project.,
1365,widen,v.,They decided to widen the road to accommodate more traffic during rush hours.,
1366,widow,n.,"After her husband's passing, she became a widow, navigating life without him.",
1367,width,n.,The width of the river made it difficult to cross without a bridge.,
1368,willingness,n.,Her willingness to help others earned her the respect of her colleagues.,
1369,wipe,v.,He had to wipe the chalk off the board before the next lesson began.,
1370,wit,n.,Her sharp wit made her a popular speaker at social events.,
1371,withdrawal,n.,"After months of preparation, he faced withdrawal symptoms when he stopped drinking coffee.",
1372,workout,n.,She went to the gym every day for her regular workout to stay in shape.,
1373,worship,n.,"The temple was a place of quiet worship, where people went to pray and reflect.",
1374,worship,v.,They gathered every Sunday to worship and sing hymns together.,
1375,worthwhile,adj.,Spending time with family is always a worthwhile way to spend your weekend.,
1376,worthy,adj.,Her hard work and dedication made her a worthy candidate for the promotion.,
1377,yell,v.,He had to yell to get their attention over the loud noise of the crowd.,
1378,yield,n.,"The farmer's yield of apples was especially high this season, thanks to the good weather.",
1379,yield,v.,"By investing in stocks, you can yield a significant return over time if you make smart choices.",
1380,youngster,n.,The park is always full of youngsters playing after school.,
